epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4239.44,0.85602,0.57837,1.11211,0.84654,0.84705,0.87745,0.60839,1.2784,0.92095,1.45291,0.002872,0.002872,0.002872
74,4294.29,0.85313,0.56161,1.10445,0.84524,0.85367,0.8738,0.60674,1.27776,0.89853,1.46172,0.002773,0.002773,0.002773
75,4358.41,0.84695,0.54432,1.10848,0.87008,0.83894,0.87534,0.60748,1.28207,0.91931,1.45849,0.002674,0.002674,0.002674
76,4412.28,0.83988,0.53965,1.10636,0.85372,0.85557,0.8738,0.60771,1.28022,0.9292,1.46815,0.002575,0.002575,0.002575
77,4471.62,0.8534,0.54341,1.11384,0.85671,0.84008,0.8737,0.61028,1.28457,0.91113,1.47598,0.002476,0.002476,0.002476
78,4530.89,0.84052,0.54036,1.09854,0.86611,0.84431,0.87677,0.61106,1.27252,0.91471,1.46043,0.002377,0.002377,0.002377
79,4589.52,0.83484,0.53475,1.11176,0.84778,0.84642,0.87137,0.60927,1.27654,0.93487,1.45892,0.002278,0.002278,0.002278
80,4643.48,0.83545,0.54036,1.10749,0.86216,0.84246,0.87614,0.60951,1.26946,0.90684,1.44756,0.002179,0.002179,0.002179
81,4703.06,0.82495,0.5203,1.09108,0.85214,0.8474,0.87262,0.61184,1.27749,0.90489,1.46843,0.00208,0.00208,0.00208
82,4761.39,0.83079,0.52992,1.0948,0.83931,0.86105,0.88091,0.61223,1.2742,0.88713,1.4594,0.001981,0.001981,0.001981
83,4818.58,0.8068,0.5098,1.08957,0.84836,0.85347,0.8774,0.61263,1.25308,0.91336,1.44546,0.001882,0.001882,0.001882
84,4878.66,0.81158,0.52274,1.08768,0.85209,0.85507,0.87587,0.60947,1.2747,0.88729,1.46278,0.001783,0.001783,0.001783
85,4938.44,0.79037,0.49774,1.08139,0.86461,0.84217,0.88175,0.61805,1.26211,0.89036,1.45467,0.001684,0.001684,0.001684
86,4997.61,0.80747,0.50599,1.08538,0.8793,0.83588,0.88067,0.61555,1.26846,0.89848,1.45771,0.001585,0.001585,0.001585
87,5056.35,0.79064,0.50613,1.07904,0.8562,0.85177,0.87428,0.61105,1.27462,0.88285,1.46843,0.001486,0.001486,0.001486
88,5110.39,0.7913,0.503,1.07202,0.84838,0.85584,0.87682,0.61056,1.26086,0.88222,1.46264,0.001387,0.001387,0.001387
89,5164.58,0.78459,0.50025,1.07967,0.86603,0.84957,0.8792,0.61838,1.27728,0.88435,1.46384,0.001288,0.001288,0.001288
90,5224.94,0.78013,0.49217,1.07621,0.86343,0.84241,0.87758,0.61344,1.26579,0.90737,1.46806,0.001189,0.001189,0.001189
91,5281.36,0.76159,0.4377,1.08478,0.8499,0.85415,0.87668,0.61283,1.26542,0.88907,1.47415,0.00109,0.00109,0.00109
92,5335.75,0.74543,0.4249,1.07607,0.8576,0.83225,0.87381,0.61337,1.27813,0.9093,1.48046,0.000991,0.000991,0.000991
93,5389.85,0.75047,0.42752,1.07916,0.84165,0.85738,0.87405,0.61393,1.26922,0.8997,1.47536,0.000892,0.000892,0.000892
94,5443.28,0.72785,0.40862,1.0672,0.84442,0.85356,0.87437,0.61758,1.25556,0.88835,1.46575,0.000793,0.000793,0.000793
95,5497.63,0.71607,0.40107,1.06512,0.84479,0.85505,0.87481,0.61976,1.24897,0.9013,1.46924,0.000694,0.000694,0.000694
96,5564.16,0.7167,0.40399,1.05989,0.84451,0.85271,0.8767,0.61864,1.25933,0.89369,1.47611,0.000595,0.000595,0.000595
97,5623.18,0.70989,0.39832,1.05318,0.86202,0.84896,0.88227,0.62465,1.25401,0.89247,1.46976,0.000496,0.000496,0.000496
98,5683.84,0.70693,0.39105,1.04768,0.84692,0.85394,0.87857,0.62261,1.25072,0.88686,1.47583,0.000397,0.000397,0.000397
99,5737.94,0.69604,0.38883,1.04907,0.85396,0.8519,0.87902,0.62171,1.25059,0.88806,1.47522,0.000298,0.000298,0.000298
100,5793.72,0.69771,0.38635,1.04378,0.85686,0.84926,0.87923,0.62242,1.24612,0.88709,1.47323,0.000199,0.000199,0.000199
